Question Asked,Answer Given,Top Match,Answer Taught,Category,Question Type,Date Received, Date Responded,Response Time,Processed By
hi,General Information about URA,Top Match,Catch all,,No Feedback,11/14/2019 16:16,11/14/2019 17:01,<1,Oh Kie Hock
who do i contact to include our company name in the macpherson mrt directory signage,General Information about URA,,Catch all,,No Feedback,11/14/2019 16:44,11/14/2019 17:01,<1,Oh Kie Hock
Hi,General Information about URA,Top Match,Catch all,,No Feedback,11/14/2019 16:45,11/14/2019 17:01,<1,Oh Kie Hock
can i rent my bedromm,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/14/2019 15:23,11/14/2019 17:01,<1,Oh Kie Hock
can i rent my bedroom under home office sheme,General Info on Home Business,Top Match,General info on renting private residential property,,No Feedback,11/14/2019 15:23,11/14/2019 17:01,<1,Oh Kie Hock
Can a usa citizen rent out their private apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/14/2019 15:33,11/14/2019 17:01,<1,Oh Kie Hock
Can a usa citizen rent out their private property,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/14/2019 15:33,11/14/2019 17:01,<1,Oh Kie Hock
home office sheme,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/14/2019 15:22,11/14/2019 16:55,<1,Oh Kie Hock
Much would chuck could woodchuck wood chuck chuck,General info on change of use,,Catch all,,No Feedback,11/14/2019 16:43,11/14/2019 16:55,<1,Oh Kie Hock
Small scale business,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/14/2019 15:50,11/14/2019 16:54,<1,Oh Kie Hock
I want rent place,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/14/2019 15:48,11/14/2019 16:54,<1,Oh Kie Hock
How to rent a office,General Info on Home Business,Top Match,Catch all,,No Feedback,11/14/2019 15:49,11/14/2019 16:54,<1,Oh Kie Hock
do i need to apply for change of use,General info on change of use,Top Match,General info on change of use,,No Feedback,11/12/2019 10:29,11/14/2019 16:53,2,Oh Kie Hock
do i need to apply for change of use,General info on change of use,Top Match,General info on change of use,,No Feedback,11/12/2019 11:08,11/14/2019 16:53,2,Oh Kie Hock
Hi I have question on renewal of use application,Catch all,,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,11/12/2019 13:02,11/14/2019 16:53,2,Oh Kie Hock
can i checked whether i have hit with any penalty by URA,General info on change of use,Top Match,General info on change of use,,No Feedback,11/12/2019 17:09,11/14/2019 16:52,2,Oh Kie Hock
How much is the fee for change of use lodgement,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use lodgment?,Development Control > Change of Use,No Feedback,11/12/2019 16:50,11/14/2019 16:51,2,Oh Kie Hock
is peninsular shopping centre a Standalone Commercial building,General info on change of use,,Catch all,,No Feedback,11/12/2019 17:35,11/14/2019 16:51,2,Oh Kie Hock
help,General Information about URA,Top Match,Catch all,,No Feedback,11/12/2019 17:35,11/14/2019 16:51,2,Oh Kie Hock
live agent,General Information about URA,Top Match,Catch all,,No Feedback,11/12/2019 17:35,11/14/2019 16:51,2,Oh Kie Hock
please help,General Information about URA,,Catch all,,No Feedback,11/12/2019 17:36,11/14/2019 16:51,2,Oh Kie Hock
i need to know more,General info on buying and renovating private residential properties,Top Match,Catch all,,No Feedback,11/12/2019 17:36,11/14/2019 16:51,2,Oh Kie Hock
this is not correct,General Info on URA SPACE map service,,Catch all,,No Feedback,11/12/2019 17:36,11/14/2019 16:51,2,Oh Kie Hock
I FORMAL AUTOMOBILE PRIVATE LIMITED,General info on renting private residential property,,Catch all,,No Feedback,11/12/2019 17:32,11/14/2019 16:50,2,Oh Kie Hock
dometry,General info for feedback on e-Service errors,,Catch all,,No Feedback,11/12/2019 17:43,11/14/2019 16:44,2,Oh Kie Hock
feedback,General Information about URA,Top Match,Catch all,,No Feedback,11/12/2019 21:05,11/14/2019 16:44,2,Oh Kie Hock
call,General Information about URA,Top Match,Catch all,,No Feedback,11/12/2019 17:44,11/14/2019 16:44,2,Oh Kie Hock
call ura,General Information about URA,Top Match,Catch all,,No Feedback,11/12/2019 17:45,11/14/2019 16:44,2,Oh Kie Hock
Tanah merah mrt,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/12/2019 18:36,11/14/2019 16:44,2,Oh Kie Hock
where can i get data for supply of flats over the years,Catch all,Top Match,Catch all,,No Feedback,11/12/2019 19:55,11/14/2019 16:44,2,Oh Kie Hock
WHAT IS THE LATEST VERSION OF EDA,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/12/2019 19:33,11/14/2019 16:43,2,Oh Kie Hock
height of school building,General info on buying and renovating private residential properties,,General info on Development Control guidelines and handbooks,,No Feedback,11/12/2019 19:42,11/14/2019 16:43,2,Oh Kie Hock
New version of eda,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/12/2019 19:47,11/14/2019 16:43,2,Oh Kie Hock
ura,General Information about URA,Top Match,Catch all,,No Feedback,11/12/2019 22:34,11/14/2019 16:43,2,Oh Kie Hock
bishan bto,General Info on URA SPACE map service,,Catch all,,No Feedback,11/12/2019 23:08,11/14/2019 16:43,2,Oh Kie Hock
bishan,General Info on URA SPACE map service,,Catch all,,No Feedback,11/12/2019 23:08,11/14/2019 16:43,2,Oh Kie Hock
Which government agency is incharge of Industrail property,Catch all,Top Match,Catch all,,No Feedback,11/12/2019 23:08,11/14/2019 16:42,2,Oh Kie Hock
is it ok to rent out HDB 2 room flat for 6 person,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/13/2019 9:14,11/14/2019 16:42,1,Oh Kie Hock
Landlord rights transfer to tenant,General info on renting private residential property,,Catch all,,No Feedback,11/13/2019 9:37,11/14/2019 16:42,1,Oh Kie Hock
For renting a condo unit does the landlord has the right for facilities,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/13/2019 9:37,11/14/2019 16:42,1,Oh Kie Hock
i have a pressing question,General Information about URA,,Catch all,,No Feedback,11/13/2019 10:12,11/14/2019 16:42,1,Oh Kie Hock
How do I find the GFA of a building,What does Gross Floor Area (GFA) mean?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",Incorrect,11/13/2019 10:18,11/14/2019 16:41,1,Oh Kie Hock
i would like to know the dev baseline for my condo,Catch all,Top Match,Catch all,,No Feedback,11/13/2019 10:58,11/14/2019 16:41,1,Oh Kie Hock
how can i determine the dev baseline for a condo,General information on development charge rates,Top Match,Catch all,,No Feedback,11/13/2019 10:55,11/14/2019 16:41,1,Oh Kie Hock
plan to show common area and my property,Catch all,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/13/2019 10:33,11/14/2019 16:41,1,Oh Kie Hock
how to get information on the building up of a building,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/13/2019 10:46,11/14/2019 16:41,1,Oh Kie Hock
I need a plan to show layout which is the common area,What are the development works that are exempted from planning permission?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/13/2019 10:33,11/14/2019 16:40,1,Oh Kie Hock
check approved of use of URA,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/13/2019 11:47,11/14/2019 16:40,1,Oh Kie Hock
different kind of plan,What are the development works that are exempted from planning permission?,,Catch all,,No Feedback,11/13/2019 11:00,11/14/2019 16:39,1,Oh Kie Hock
what are the different kind of plan we can purchase,General info on change of use,,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/13/2019 11:00,11/14/2019 16:39,1,Oh Kie Hock
i will like to check application status,General info on change of use,Top Match,How long does it take for URA to process a development application?,Development Control > General Information on Development Control,No Feedback,11/13/2019 11:50,11/14/2019 16:39,1,Oh Kie Hock
How can I check the approved use of a premises,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/13/2019 12:00,11/14/2019 16:38,1,Oh Kie Hock
applied for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,11/13/2019 15:04,11/14/2019 16:37,1,Oh Kie Hock
What is the empty land along Dover Road opposite Fairfield School for,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/13/2019 11:11,11/14/2019 16:31,1,Oh Kie Hock
GFA,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/13/2019 11:12,11/14/2019 16:31,1,Oh Kie Hock
application of signage approval before submission to bca,What are the development works that are exempted from planning permission?,,Catch all,,No Feedback,11/13/2019 11:12,11/14/2019 16:31,1,Oh Kie Hock
change of use where to submit,General info on change of use,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,11/13/2019 12:23,11/14/2019 16:31,1,Oh Kie Hock
Regarding rental agreement,General info on renting private residential property,,Catch all,,No Feedback,11/13/2019 13:08,11/14/2019 16:30,1,Oh Kie Hock
Rental agreement,General info on renting private residential property,,Catch all,,No Feedback,11/13/2019 13:09,11/14/2019 16:30,1,Oh Kie Hock
termination of private property lease,General info on renting private residential property,Top Match,Catch all,,No Feedback,11/13/2019 13:10,11/14/2019 16:30,1,Oh Kie Hock
Any EC coming up in Tengah,General Info on URA SPACE map service,,Catch all,,No Feedback,11/13/2019 13:26,11/14/2019 16:30,1,Oh Kie Hock
can install ziptrack blinds,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/13/2019 13:49,11/14/2019 16:30,1,Oh Kie Hock
How long ura will reply for development charges application,General information on development charge rates,Top Match,How long does it take for URA to process a development application?,Development Control > General Information on Development Control,No Feedback,11/13/2019 12:26,11/14/2019 16:29,1,Oh Kie Hock
what is the maximum number of dwelling units in the central area,General info on renting private residential property,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/13/2019 14:02,11/14/2019 16:25,1,Oh Kie Hock
What is the process of applying planning permission for elevated solar panel installation at commercial building with more than 18m height,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/13/2019 14:02,11/14/2019 16:25,1,Oh Kie Hock
how do I calculate the no of dwelling in a private condominium in the central area,Catch all,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/13/2019 14:16,11/14/2019 16:24,1,Oh Kie Hock
how to compute ura plan fees for perimeter fencing,What are the processing fees for development applications?,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,No Feedback,11/13/2019 14:22,11/14/2019 16:24,1,Oh Kie Hock
Hi Jamie I would like to know if i need to apply for this license if it is only selling clothes online no customer selfpickup Thank you,General info on change of use,Top Match,General Info on Home Business,,No Feedback,11/13/2019 14:41,11/14/2019 16:21,1,Oh Kie Hock
structral covering,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,,Catch all,,No Feedback,11/13/2019 15:53,11/14/2019 16:21,1,Oh Kie Hock
what the requirement to install a strutural covering at balcony,Can I enclose my balcony?,Top Match,Can I enclose my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/13/2019 15:54,11/14/2019 16:21,1,Oh Kie Hock
i actually rent the unit from far east organization would like to check hot to fill up the owner particulars,Catch all,Top Match,Catch all,,No Feedback,11/13/2019 15:05,11/14/2019 16:20,1,Oh Kie Hock
how can i figure out what is planned for a specific property,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/13/2019 15:33,11/14/2019 16:20,1,Oh Kie Hock
Where can i see the plans for a particular property,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/13/2019 15:33,11/14/2019 16:20,1,Oh Kie Hock
requiremne tfor composite rood,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,,Catch all,,No Feedback,11/13/2019 15:55,11/14/2019 16:09,1,Oh Kie Hock
Is planning permission required to construct a cover over my Private Enclosed Space PES Roof Terrace balcony,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/13/2019 15:55,11/14/2019 16:09,1,Oh Kie Hock
do we need to apply for furniture deck or loft for high ceiling condo,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/13/2019 16:16,11/14/2019 16:05,1,Oh Kie Hock
do you need a professional engineer certification to build a loft,"My unit has a high ceiling, can I build a loft?",Top Match,Catch all,,No Feedback,11/13/2019 16:20,11/14/2019 16:05,1,Oh Kie Hock
do you need a professional engineer endorsement for loft,Catch all,,Catch all,,No Feedback,11/13/2019 16:19,11/14/2019 16:05,1,Oh Kie Hock
Is there a maximum number of days stay for a serviced apartment,General info on renting private residential property,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/13/2019 16:32,11/14/2019 16:05,1,Oh Kie Hock
What is the maximum length of stay for a serviced apartment,General info on renting private residential property,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/13/2019 16:33,11/14/2019 16:05,1,Oh Kie Hock
HOW TO GET THE LATEST EDA FORM,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/13/2019 18:28,11/14/2019 16:04,1,Oh Kie Hock
What pass allowed to rent,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/13/2019 22:34,11/14/2019 16:04,1,Oh Kie Hock
how to define additions and alteration development,"General info on Additions and Alterations, and DC Forms",Top Match,"General info on Additions and Alterations, and DC Forms",,No Feedback,11/14/2019 9:40,11/14/2019 16:04,<1,Oh Kie Hock
what is salable area,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/14/2019 9:57,11/14/2019 16:03,<1,Oh Kie Hock
what is accessible area,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,11/14/2019 9:58,11/14/2019 16:03,<1,Oh Kie Hock
how to retrieve a copy of season parking,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,11/14/2019 11:15,11/14/2019 16:03,<1,Oh Kie Hock
cant include unit number,General info on renting private residential property,,Catch all,,No Feedback,11/13/2019 23:49,11/14/2019 16:02,1,Oh Kie Hock
50 of structure retention work,How do I apply for planning permission?,,Catch all,,No Feedback,11/14/2019 10:13,11/14/2019 15:24,<1,Oh Kie Hock
When do I have to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,When do I have to apply for change of use?,Development Control > Change of Use,No Feedback,11/14/2019 12:10,11/14/2019 15:24,<1,Oh Kie Hock
approved use of premises,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/14/2019 13:28,11/14/2019 15:23,<1,Oh Kie Hock
URA map,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/14/2019 13:07,11/14/2019 15:23,<1,Oh Kie Hock
who can rent condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/14/2019 13:12,11/14/2019 15:23,<1,Oh Kie Hock
Hi,General Information about URA,Top Match,Catch all,,No Feedback,11/14/2019 13:26,11/14/2019 15:23,<1,Oh Kie Hock
how to get approval to build rooms at attic,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,11/14/2019 15:16,11/14/2019 15:22,<1,Oh Kie Hock
Gross floor area,General info on Development Control guidelines and handbooks,Top Match,What does Gross Floor Area (GFA) mean?,Development Control > General Information on Development Control,No Feedback,11/13/2019 16:45,11/13/2019 18:17,<1,Jerry Yip
Hi I cannot find 4 Radin Mas on google web Has it been changed to Bukit Purmei,,,Catch all,,No Feedback,11/13/2019 17:00,11/13/2019 18:10,<1,Jerry Yip
Does beauty salons in shopping mall need to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,Knowledge Gap,,No Feedback,11/13/2019 17:06,11/13/2019 18:10,<1,Jerry Yip
hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/13/2019 17:24,11/13/2019 18:07,<1,Jerry Yip
please check for me what is the status of my application,General info on change of use,Top Match,Car Parks-Season Parking,,No Feedback,11/12/2019 14:48,11/13/2019 15:11,1,Angeline Ng Li Ling
application no SN1231709680,(SPT) How do I check the application status of transfer of Season Parking Ticket (SPT) application?,,Car Parks-Season Parking-Apply,,No Feedback,11/12/2019 14:48,11/13/2019 15:10,1,Angeline Ng Li Ling
parking fees,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/12/2019 15:41,11/13/2019 15:09,1,Angeline Ng Li Ling
how do i check the applicant of the carpark,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,Car Parks-Season Parking,,Incorrect,11/12/2019 18:29,11/13/2019 15:09,1,Angeline Ng Li Ling
How do I find out if a particular carpark offers season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/12/2019 19:37,11/13/2019 15:09,1,Angeline Ng Li Ling
How do I find out if a particular carpark offers season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/12/2019 19:37,11/13/2019 15:09,1,Angeline Ng Li Ling
How do I submit an appeal for my parking offence or check its appeal status,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/12/2019 20:55,11/13/2019 15:09,1,Angeline Ng Li Ling
Payment of season Carpark,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking,,No Feedback,11/12/2019 22:42,11/13/2019 15:08,1,Angeline Ng Li Ling
IS SEASON PARKING AVAILABLE AT T0083,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 8:35,11/13/2019 15:08,<1,Angeline Ng Li Ling
URA CAR PARK CODE NO T0083 I WANT TO BUY SEASON PARKING ANY LOT AVAILABLE,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 8:37,11/13/2019 15:08,<1,Angeline Ng Li Ling
How can I print a receipt for the renewal of my Season Parking Ticket,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,11/13/2019 9:05,11/13/2019 15:04,<1,Angeline Ng Li Ling
How do i reprint receipt,Car Parks-Season Parking,,Car Parks-Season Parking,,No Feedback,11/13/2019 9:05,11/13/2019 15:04,<1,Angeline Ng Li Ling
carpark N0013,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 9:32,11/13/2019 15:03,<1,Angeline Ng Li Ling
I want to apply for season parking at carpark N0013,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 9:22,11/13/2019 15:03,<1,Angeline Ng Li Ling
hi there,General Information about URA,Top Match,General Information about URA,,No Feedback,11/13/2019 10:12,11/13/2019 15:03,<1,Angeline Ng Li Ling
how much is a season parking cost in a restricted zone,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 10:29,11/13/2019 15:03,<1,Angeline Ng Li Ling
how much does a season parking in restricted zone,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 10:31,11/13/2019 15:03,<1,Angeline Ng Li Ling
how much is a season parkong,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 10:32,11/13/2019 15:03,<1,Angeline Ng Li Ling
good morning,General Information about URA,Top Match,General Information about URA,,No Feedback,11/13/2019 11:07,11/13/2019 15:02,<1,Angeline Ng Li Ling
How do I renew my Vehicle Parking Certificate VPC for my Heavy Vehicle,How do I renew my Vehicle Parking Certificate (VPC) for my Heavy Vehicle?,Top Match,How do I renew my Vehicle Parking Certificate (VPC) for my Heavy Vehicle?,Car Parks,No Feedback,11/13/2019 11:50,11/13/2019 15:02,<1,Angeline Ng Li Ling
where can I change my old carpark coupons,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,11/13/2019 12:42,11/13/2019 15:02,<1,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/13/2019 13:25,11/13/2019 15:01,<1,Angeline Ng Li Ling
transfer of season parking,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,11/13/2019 13:42,11/13/2019 15:01,<1,Angeline Ng Li Ling
How do I appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/13/2019 13:56,11/13/2019 15:00,<1,Angeline Ng Li Ling
Can I check whether 15 Upper Circular Road season parking is under URA,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 14:47,11/13/2019 15:00,<1,Angeline Ng Li Ling
Can I check whether 15 Upper Circular Road season parking is under URA,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/13/2019 14:47,11/13/2019 15:00,<1,Angeline Ng Li Ling
The email is full,General Information about URA,Top Match,Catch all,,No Feedback,11/12/2019 2:14,11/12/2019 16:49,<1,Oh Kie Hock
demolitoin,How do I apply for planning permission?,,Catch all,,No Feedback,11/12/2019 14:14,11/12/2019 16:48,<1,Oh Kie Hock
epacs,Where can I find the latest URA circulars?,Top Match,Catch all,,No Feedback,11/12/2019 14:48,11/12/2019 16:48,<1,Oh Kie Hock
what is your email haha,General Information about URA,Top Match,Catch all,,No Feedback,11/12/2019 14:54,11/12/2019 16:48,<1,Oh Kie Hock
AA officer for river planing area,General Info on URA SPACE map service,,General Info on URA SPACE map service,,No Feedback,11/12/2019 15:33,11/12/2019 16:48,<1,Oh Kie Hock
what if the number is not given on the Master Plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/12/2019 15:51,11/12/2019 16:48,<1,Oh Kie Hock
leong ng chui uang,How long does it take for URA to process a development application?,,Catch all,,No Feedback,11/12/2019 15:54,11/12/2019 16:47,<1,Oh Kie Hock
what does my love means to you,Catch all,,Catch all,,No Feedback,11/12/2019 16:03,11/12/2019 16:47,<1,Oh Kie Hock
no help with my love pls,Catch all,,Catch all,,No Feedback,11/12/2019 16:03,11/12/2019 16:47,<1,Oh Kie Hock
zoning,Catch all,Top Match,Catch all,,No Feedback,11/12/2019 16:13,11/12/2019 16:47,<1,Oh Kie Hock
hi how do I get the written notice from URA stating that the private property is solely for commerical use thank you,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,11/12/2019 16:10,11/12/2019 16:47,<1,Oh Kie Hock
open carpark,Car Parks-Season Parking-Apply,Top Match,Catch all,,No Feedback,11/4/2019 12:35,11/12/2019 15:50,8,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/1/2019 11:00,11/12/2019 15:49,11,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/1/2019 13:53,11/12/2019 15:49,11,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/1/2019 15:15,11/12/2019 15:49,11,Angeline Ng Li Ling
parking statistics,Catch all,,Catch all,,No Feedback,11/1/2019 15:28,11/12/2019 15:49,11,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/1/2019 16:32,11/12/2019 15:48,11,Angeline Ng Li Ling
Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/1/2019 16:55,11/12/2019 15:48,11,Angeline Ng Li Ling
Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/1/2019 17:23,11/12/2019 15:48,11,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/1/2019 17:57,11/12/2019 15:48,11,Angeline Ng Li Ling
Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/4/2019 9:10,11/12/2019 15:47,8,Angeline Ng Li Ling
i wanted to purchase VPC for heavy vehicle but i cant find the parking list,Car Parks-Season Parking-Apply,Top Match,Car Parks-VPC,,No Feedback,11/3/2019 16:07,11/12/2019 15:45,9,Angeline Ng Li Ling
Can it be reinstate now so that i can make the payment,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Car Parks,No Feedback,11/3/2019 17:02,11/12/2019 15:45,9,Angeline Ng Li Ling
Can I purchase a Vehicle Parking Certificate VPC for a URA heavy vehicle park,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,11/3/2019 16:08,11/12/2019 15:45,9,Angeline Ng Li Ling
where to get refund for unused parking coupons,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,Incorrect,11/3/2019 16:49,11/12/2019 15:45,9,Angeline Ng Li Ling
i have miss my November19 URA season parking renewal grace period cos i was oversea last week able to reinstate my eligibility so that i can make payment immediately,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Car Parks,No Feedback,11/3/2019 17:01,11/12/2019 15:45,9,Angeline Ng Li Ling
driver details,(FurnishDriver) How do I furnish the driver's particulars?,Top Match,(FurnishDriver) How do I furnish the driver's particulars?,Car Parks,No Feedback,11/4/2019 9:32,11/12/2019 15:43,8,Angeline Ng Li Ling
Where do I send the documents for season parking application,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/4/2019 11:04,11/12/2019 15:43,8,Angeline Ng Li Ling
i need to confirm if I have a parking fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/4/2019 11:08,11/12/2019 15:43,8,Angeline Ng Li Ling
i need to confirm if I have a parking offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/4/2019 11:09,11/12/2019 15:43,8,Angeline Ng Li Ling
how can i appeal for parking offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/4/2019 11:16,11/12/2019 15:43,8,Angeline Ng Li Ling
are there overnight parking at geylang road,Car Parks-Season Parking-Apply,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/4/2019 11:18,11/12/2019 15:42,8,Angeline Ng Li Ling
